ts_utc,rate
2024-06-18T08:00:00+00:00,-8.819e-05
2024-06-18T16:00:00+00:00,-7.459e-05
2024-06-19T00:00:00.001000+00:00,-5.141e-05
2024-06-19T08:00:00.001000+00:00,5.249e-05
2024-06-19T16:00:00+00:00,0.0001
2024-06-20T00:00:00+00:00,2.948e-05
2024-06-20T08:00:00+00:00,-7.61e-06
2024-06-20T16:00:00+00:00,-6.399e-05
2024-06-21T00:00:00+00:00,-5.872e-05
2024-06-21T08:00:00+00:00,1.886e-05
2024-06-21T16:00:00+00:00,6.559e-05
2024-06-22T00:00:00+00:00,2.999e-05
2024-06-22T08:00:00+00:00,-2.2e-06
2024-06-22T16:00:00+00:00,-2.962e-05
2024-06-23T00:00:00+00:00,4.86e-05
2024-06-23T08:00:00+00:00,-6.204e-05
2024-06-23T16:00:00+00:00,-1.294e-05
2024-06-24T00:00:00.002000+00:00,-0.00012738
2024-06-24T08:00:00+00:00,1.187e-05
2024-06-24T16:00:00+00:00,-0.00039735
2024-06-25T00:00:00+00:00,-0.00053131
2024-06-25T08:00:00+00:00,8.289e-05
2024-06-25T16:00:00+00:00,0.0001
2024-06-26T00:00:00.002000+00:00,0.0001
2024-06-26T08:00:00+00:00,-0.00025208
2024-06-26T16:00:00+00:00,-0.00026045
2024-06-27T00:00:00+00:00,-0.00035633
2024-06-27T08:00:00.001000+00:00,-0.00010954
2024-06-27T16:00:00+00:00,0.0001
2024-06-28T00:00:00+00:00,0.0001
2024-06-28T08:00:00+00:00,0.0001
2024-06-28T16:00:00+00:00,0.0001
2024-06-29T00:00:00.001000+00:00,-6.51e-05
2024-06-29T08:00:00+00:00,-2.505e-05
2024-06-29T16:00:00+00:00,-8.641e-05
2024-06-30T00:00:00+00:00,-4.041e-05
2024-06-30T08:00:00+00:00,-2.564e-05
2024-06-30T16:00:00+00:00,0.0001
2024-07-01T00:00:00+00:00,0.0001
2024-07-01T08:00:00+00:00,-7.681e-05
2024-07-01T16:00:00.001000+00:00,-2.187e-05
2024-07-02T00:00:00+00:00,-8.395e-05
2024-07-02T08:00:00+00:00,5.955e-05
2024-07-02T16:00:00+00:00,8.329e-05
2024-07-03T00:00:00+00:00,7.394e-05
2024-07-03T08:00:00.001000+00:00,8.99e-06
2024-07-03T16:00:00+00:00,8.98e-05
2024-07-04T00:00:00+00:00,0.0001
2024-07-04T08:00:00+00:00,3.662e-05
2024-07-04T16:00:00+00:00,7.013e-05
2024-07-05T00:00:00+00:00,-0.0002032
2024-07-05T08:00:00+00:00,-0.00023185
2024-07-05T16:00:00+00:00,-0.00034457
2024-07-06T00:00:00+00:00,-0.00027176
2024-07-06T08:00:00+00:00,-0.00012297
2024-07-06T16:00:00+00:00,-0.00027865
2024-07-07T00:00:00.001000+00:00,-0.00017304
2024-07-07T08:00:00+00:00,-4.623e-05
2024-07-07T16:00:00+00:00,-0.00024868
2024-07-08T00:00:00+00:00,-0.00039005
2024-07-08T08:00:00+00:00,-0.0001438
2024-07-08T16:00:00+00:00,-0.00013685
2024-07-09T00:00:00+00:00,-0.00019567
2024-07-09T08:00:00.001000+00:00,-0.00017275
2024-07-09T16:00:00+00:00,-2.86e-05
2024-07-10T00:00:00+00:00,-6.924e-05
2024-07-10T08:00:00+00:00,-3.808e-05
2024-07-10T16:00:00+00:00,2.94e-05
2024-07-11T00:00:00.002000+00:00,-0.00017369
2024-07-11T08:00:00.002000+00:00,-1.748e-05
2024-07-11T16:00:00.004000+00:00,8.148e-05
2024-07-12T00:00:00+00:00,4.902e-05
2024-07-12T08:00:00+00:00,-4.666e-05
2024-07-12T16:00:00+00:00,5.94e-05
2024-07-13T00:00:00+00:00,-2.679e-05
2024-07-13T08:00:00+00:00,8.615e-05
2024-07-13T16:00:00+00:00,-6.687e-05
2024-07-14T00:00:00+00:00,-0.00027918
2024-07-14T08:00:00+00:00,-0.00022771
2024-07-14T16:00:00+00:00,-0.00029905
2024-07-15T00:00:00+00:00,-0.00033891
2024-07-15T08:00:00+00:00,-0.00037794
2024-07-15T16:00:00+00:00,-0.00020308
2024-07-16T00:00:00+00:00,-0.0002712
2024-07-16T08:00:00+00:00,-0.00025493
2024-07-16T16:00:00+00:00,-0.00032959
2024-07-17T00:00:00+00:00,-0.00040657
2024-07-17T08:00:00.001000+00:00,-0.00021904
2024-07-17T16:00:00+00:00,-0.00036102
2024-07-18T00:00:00+00:00,-0.00032385
2024-07-18T08:00:00+00:00,-0.00015524
2024-07-18T16:00:00+00:00,-6.2e-05
2024-07-19T00:00:00+00:00,-5.729e-05
2024-07-19T08:00:00+00:00,-0.00010477
2024-07-19T16:00:00+00:00,-8.05e-05
2024-07-20T00:00:00.001000+00:00,-0.00011009
2024-07-20T08:00:00+00:00,-6.416e-05
2024-07-20T16:00:00+00:00,-5.329e-05
2024-07-21T00:00:00+00:00,-0.00011968
2024-07-21T08:00:00+00:00,-4.202e-05
2024-07-21T16:00:00+00:00,-0.00010506
2024-07-22T00:00:00+00:00,-4.946e-05
2024-07-22T08:00:00+00:00,-5.396e-05
2024-07-22T16:00:00+00:00,-0.00015692
2024-07-23T00:00:00+00:00,-0.00010912
2024-07-23T08:00:00+00:00,-0.00035114
2024-07-23T16:00:00+00:00,-0.00024693
2024-07-24T00:00:00+00:00,-0.00026014
2024-07-24T08:00:00+00:00,-0.00014948
2024-07-24T16:00:00+00:00,-0.00014815
2024-07-25T00:00:00+00:00,-0.0001241
2024-07-25T08:00:00+00:00,-9.814e-05
2024-07-25T16:00:00+00:00,-3.045e-05
2024-07-26T00:00:00+00:00,-0.0001081
2024-07-26T08:00:00+00:00,-1.997e-05
2024-07-26T16:00:00+00:00,6.42e-06
2024-07-27T00:00:00+00:00,-4.23e-05
2024-07-27T08:00:00+00:00,-4.024e-05
2024-07-27T16:00:00+00:00,3.238e-05
2024-07-28T00:00:00+00:00,6.305e-05
2024-07-28T08:00:00+00:00,-1.489e-05
2024-07-28T16:00:00.001000+00:00,-8.986e-05
2024-07-29T00:00:00.001000+00:00,8.14e-06
2024-07-29T08:00:00+00:00,-0.00011753
2024-07-29T16:00:00.001000+00:00,-7.544e-05
2024-07-30T00:00:00+00:00,-1.483e-05
2024-07-30T08:00:00.001000+00:00,7.665e-05
2024-07-30T16:00:00+00:00,4.127e-05
2024-07-31T00:00:00+00:00,0.0001
2024-07-31T08:00:00+00:00,3.124e-05
2024-07-31T16:00:00+00:00,-3.159e-05
2024-08-01T00:00:00+00:00,6.975e-05
2024-08-01T08:00:00+00:00,5.932e-05
2024-08-01T16:00:00+00:00,4.75e-06
2024-08-02T00:00:00+00:00,-0.00011213
2024-08-02T08:00:00.001000+00:00,6.519e-05
2024-08-02T16:00:00+00:00,-0.00017202
2024-08-03T00:00:00+00:00,0.0001
2024-08-03T08:00:00+00:00,-0.0001179
2024-08-03T16:00:00.001000+00:00,-0.00014462
2024-08-04T00:00:00+00:00,-0.00025122
2024-08-04T08:00:00+00:00,-0.0001062
2024-08-04T16:00:00+00:00,-0.0003105
2024-08-05T00:00:00+00:00,-0.00022552
2024-08-05T08:00:00+00:00,-0.00042121
2024-08-05T16:00:00+00:00,-0.00024435
2024-08-06T00:00:00+00:00,-0.00064912
2024-08-06T08:00:00+00:00,-0.00064068
2024-08-06T16:00:00+00:00,-0.00053897
2024-08-07T00:00:00+00:00,-0.00055137
2024-08-07T08:00:00.001000+00:00,-0.00047939
2024-08-07T16:00:00+00:00,-0.0005603
2024-08-08T00:00:00.001000+00:00,-0.00033182
2024-08-08T08:00:00+00:00,-0.00021347
2024-08-08T16:00:00+00:00,-0.0002442
2024-08-09T00:00:00+00:00,-0.00021045
2024-08-09T08:00:00+00:00,-0.00033908
2024-08-09T16:00:00+00:00,-0.00010318
2024-08-10T00:00:00+00:00,-0.00021546
2024-08-10T08:00:00+00:00,-0.000377
2024-08-10T16:00:00+00:00,-0.00019954
2024-08-11T00:00:00+00:00,-0.0003382
2024-08-11T08:00:00+00:00,-0.00034768
2024-08-11T16:00:00.001000+00:00,-0.00013423
2024-08-12T00:00:00+00:00,6.577e-05
2024-08-12T08:00:00+00:00,-0.000145
2024-08-12T16:00:00+00:00,-5.115e-05
2024-08-13T00:00:00+00:00,-0.00022326
2024-08-13T08:00:00+00:00,-0.00020844
2024-08-13T16:00:00+00:00,-0.0001262
2024-08-14T00:00:00+00:00,-6.3e-05
2024-08-14T08:00:00+00:00,5.047e-05
2024-08-14T16:00:00+00:00,-0.00032475
2024-08-15T00:00:00+00:00,1.713e-05
2024-08-15T08:00:00+00:00,0.0001
2024-08-15T16:00:00+00:00,-5.17e-05
2024-08-16T00:00:00+00:00,-0.0001044
2024-08-16T08:00:00+00:00,-0.00011907
2024-08-16T16:00:00+00:00,-0.00018741
2024-08-17T00:00:00+00:00,-0.00012072
2024-08-17T08:00:00+00:00,-0.0001921
2024-08-17T16:00:00+00:00,-7.06e-06
2024-08-18T00:00:00+00:00,-6.235e-05
2024-08-18T08:00:00+00:00,-0.00016324
2024-08-18T16:00:00+00:00,-0.00026695
2024-08-19T00:00:00+00:00,-0.00026283
2024-08-19T08:00:00+00:00,-0.00036268
2024-08-19T16:00:00.002000+00:00,-6.946e-05
2024-08-20T00:00:00+00:00,-0.00010383
2024-08-20T08:00:00+00:00,3.779e-05
2024-08-20T16:00:00.001000+00:00,-6.22e-05
2024-08-21T00:00:00.001000+00:00,-0.00023223
2024-08-21T08:00:00+00:00,-0.00011426
2024-08-21T16:00:00.001000+00:00,-2.465e-05
2024-08-22T00:00:00+00:00,-4.674e-05
2024-08-22T08:00:00+00:00,-3.685e-05
2024-08-22T16:00:00.008000+00:00,-5.998e-05
2024-08-23T00:00:00+00:00,-9.899e-05
2024-08-23T08:00:00+00:00,-0.00011034
2024-08-23T16:00:00+00:00,-0.00012615
2024-08-24T00:00:00+00:00,-0.00016613
2024-08-24T08:00:00.005000+00:00,-0.00033033
2024-08-24T16:00:00+00:00,-0.00035175
2024-08-25T00:00:00+00:00,-0.00030127
2024-08-25T08:00:00+00:00,-0.00026444
2024-08-25T16:00:00+00:00,-0.00018561
2024-08-26T00:00:00+00:00,-0.0001771
2024-08-26T08:00:00.001000+00:00,-0.00012006
2024-08-26T16:00:00+00:00,-0.00016569
2024-08-27T00:00:00.001000+00:00,-0.00019248
2024-08-27T08:00:00+00:00,-0.00035987
2024-08-27T16:00:00+00:00,-5.487e-05
2024-08-28T00:00:00+00:00,-0.00033014
2024-08-28T08:00:00+00:00,-0.00034865
2024-08-28T16:00:00.001000+00:00,-0.00028561
2024-08-29T00:00:00+00:00,-0.00029433
2024-08-29T08:00:00.001000+00:00,-0.00024975
2024-08-29T16:00:00+00:00,-0.00025648
2024-08-30T00:00:00+00:00,-0.00015796
2024-08-30T08:00:00+00:00,-7.158e-05
2024-08-30T16:00:00+00:00,-0.00012387
2024-08-31T00:00:00+00:00,-7.211e-05
2024-08-31T08:00:00+00:00,-0.00012438
2024-08-31T16:00:00+00:00,-0.00011133
2024-09-01T00:00:00+00:00,-0.00021509
2024-09-01T08:00:00.001000+00:00,-0.00015828
2024-09-01T16:00:00+00:00,-0.0001675
2024-09-02T00:00:00.001000+00:00,-0.00019415
2024-09-02T08:00:00.001000+00:00,-0.00016372
2024-09-02T16:00:00+00:00,5.72e-06
2024-09-03T00:00:00+00:00,-5.109e-05
2024-09-03T08:00:00.001000+00:00,-5.641e-05
2024-09-03T16:00:00+00:00,-0.00015524
2024-09-04T00:00:00+00:00,-0.00017345
2024-09-04T08:00:00+00:00,-0.00022431
2024-09-04T16:00:00+00:00,-9.205e-05
2024-09-05T00:00:00+00:00,-5.26e-05
2024-09-05T08:00:00+00:00,-1.322e-05
2024-09-05T16:00:00.005000+00:00,-9.445e-05
2024-09-06T00:00:00+00:00,-0.00042199
2024-09-06T08:00:00.001000+00:00,-9.598e-05
2024-09-06T16:00:00+00:00,-7.859e-05
2024-09-07T00:00:00+00:00,-0.00016773
2024-09-07T08:00:00+00:00,-0.00019924
2024-09-07T16:00:00+00:00,-0.00030426
2024-09-08T00:00:00+00:00,-0.00012494
2024-09-08T08:00:00+00:00,-0.00035164
2024-09-08T16:00:00+00:00,-0.00020757
2024-09-09T00:00:00+00:00,-0.00017749
2024-09-09T08:00:00+00:00,-0.00017853
2024-09-09T16:00:00.001000+00:00,-0.00026635
2024-09-10T00:00:00+00:00,-4.299e-05
2024-09-10T08:00:00+00:00,-8.971e-05
2024-09-10T16:00:00+00:00,1.761e-05
2024-09-11T00:00:00+00:00,-2.062e-05
2024-09-11T08:00:00+00:00,-4.685e-05
2024-09-11T16:00:00+00:00,-5.224e-05
2024-09-12T00:00:00+00:00,-3.9e-07
2024-09-12T08:00:00+00:00,-8.743e-05
2024-09-12T16:00:00+00:00,-4.977e-05
2024-09-13T00:00:00+00:00,-4.71e-05
2024-09-13T08:00:00.001000+00:00,-7.79e-05
2024-09-13T16:00:00.001000+00:00,-0.00012675
2024-09-14T00:00:00+00:00,-0.00028851
2024-09-14T08:00:00+00:00,-0.00023311
2024-09-14T16:00:00.001000+00:00,-0.00033323
2024-09-15T00:00:00+00:00,-0.00024337
2024-09-15T08:00:00+00:00,-0.00036666
2024-09-15T16:00:00+00:00,-0.00022679
2024-09-16T00:00:00+00:00,-6.704e-05
2024-09-16T08:00:00.001000+00:00,-0.00012872
2024-09-16T16:00:00+00:00,-0.00011977
2024-09-17T00:00:00.001000+00:00,-8.68e-06
2024-09-17T08:00:00+00:00,-0.00014484
2024-09-17T16:00:00+00:00,-5.969e-05
2024-09-18T00:00:00+00:00,-0.00023534
2024-09-18T08:00:00+00:00,-0.00033238
2024-09-18T16:00:00.004000+00:00,-7.716e-05
2024-09-19T00:00:00+00:00,-4.89e-05
2024-09-19T08:00:00+00:00,0.0001
2024-09-19T16:00:00.001000+00:00,-3.778e-05
2024-09-20T00:00:00+00:00,6.552e-05
2024-09-20T08:00:00.001000+00:00,-0.00014068
2024-09-20T16:00:00+00:00,-0.00014157
2024-09-21T00:00:00.001000+00:00,-7.93e-06
2024-09-21T08:00:00+00:00,-8.201e-05
2024-09-21T16:00:00+00:00,3.41e-05
2024-09-22T00:00:00+00:00,-5.312e-05
2024-09-22T08:00:00+00:00,-8.88e-06
2024-09-22T16:00:00+00:00,7.788e-05
2024-09-23T00:00:00+00:00,-0.00015015
2024-09-23T08:00:00+00:00,-4.757e-05
2024-09-23T16:00:00+00:00,-0.00015392
2024-09-24T00:00:00+00:00,-0.00017852
2024-09-24T08:00:00+00:00,2.153e-05
2024-09-24T16:00:00.001000+00:00,3.766e-05
2024-09-25T00:00:00+00:00,4.643e-05
2024-09-25T08:00:00.003000+00:00,-0.00012731
2024-09-25T16:00:00+00:00,-6.81e-06
2024-09-26T00:00:00.005000+00:00,-0.00021727
2024-09-26T08:00:00+00:00,1.836e-05
2024-09-26T16:00:00+00:00,-0.00011859
2024-09-27T00:00:00+00:00,0.0001
2024-09-27T08:00:00+00:00,-0.00014461
2024-09-27T16:00:00+00:00,-6.198e-05
2024-09-28T00:00:00+00:00,-3.55e-06
2024-09-28T08:00:00.001000+00:00,7.521e-05
2024-09-28T16:00:00+00:00,2.903e-05
2024-09-29T00:00:00.001000+00:00,7.071e-05
2024-09-29T08:00:00+00:00,6.933e-05
2024-09-29T16:00:00+00:00,-2.123e-05
2024-09-30T00:00:00+00:00,-6.236e-05
2024-09-30T08:00:00.001000+00:00,4.779e-05
2024-09-30T16:00:00+00:00,1.726e-05
2024-10-01T00:00:00+00:00,-5.662e-05
2024-10-01T08:00:00+00:00,-8.841e-05
2024-10-01T16:00:00.001000+00:00,-0.00011986
2024-10-02T00:00:00+00:00,-0.0003049
2024-10-02T08:00:00+00:00,-0.00015616
2024-10-02T16:00:00+00:00,-0.00027764
2024-10-03T00:00:00+00:00,-0.00040479
2024-10-03T08:00:00+00:00,-0.0003387
2024-10-03T16:00:00+00:00,-9.735e-05
2024-10-04T00:00:00+00:00,-3.3e-05
2024-10-04T08:00:00+00:00,-0.0002908
2024-10-04T16:00:00.001000+00:00,-0.00043107
2024-10-05T00:00:00+00:00,-0.00025814
2024-10-05T08:00:00+00:00,-0.00021649
2024-10-05T16:00:00+00:00,-0.00016039
2024-10-06T00:00:00+00:00,-0.00019761
2024-10-06T08:00:00.001000+00:00,-0.00026047
2024-10-06T16:00:00+00:00,-0.00027967
2024-10-07T00:00:00+00:00,-0.00026172
2024-10-07T08:00:00+00:00,-7.66e-05
2024-10-07T16:00:00.001000+00:00,-0.00026479
2024-10-08T00:00:00+00:00,1.255e-05
2024-10-08T08:00:00+00:00,-5.388e-05
2024-10-08T16:00:00+00:00,3.426e-05
2024-10-09T00:00:00+00:00,-2.65e-05
2024-10-09T08:00:00+00:00,-7.858e-05
2024-10-09T16:00:00+00:00,-1.145e-05
2024-10-10T00:00:00+00:00,4.721e-05
2024-10-10T08:00:00+00:00,1.993e-05
2024-10-10T16:00:00+00:00,4.957e-05
2024-10-11T00:00:00+00:00,-2.971e-05
2024-10-11T08:00:00+00:00,-9.136e-05
2024-10-11T16:00:00.001000+00:00,-0.00015664
2024-10-12T00:00:00+00:00,-0.00023914
2024-10-12T08:00:00.001000+00:00,-7.208e-05
2024-10-12T16:00:00+00:00,-7.63e-06
2024-10-13T00:00:00+00:00,-4.28e-05
2024-10-13T08:00:00+00:00,-1.675e-05
2024-10-13T16:00:00+00:00,-0.00011565
2024-10-14T00:00:00+00:00,-0.00021606
2024-10-14T08:00:00+00:00,-8.095e-05
2024-10-14T16:00:00+00:00,0.0001
2024-10-15T00:00:00+00:00,0.0001
2024-10-15T08:00:00+00:00,0.0001
2024-10-15T16:00:00+00:00,9.687e-05
2024-10-16T00:00:00+00:00,-0.00026667
2024-10-16T08:00:00.001000+00:00,2.411e-05
2024-10-16T16:00:00+00:00,1.066e-05
2024-10-17T00:00:00+00:00,-6.037e-05
2024-10-17T08:00:00+00:00,8.959e-05
2024-10-17T16:00:00.001000+00:00,4.604e-05
2024-10-18T00:00:00.010000+00:00,-6.3e-07
2024-10-18T08:00:00.001000+00:00,3.921e-05
2024-10-18T16:00:00+00:00,-0.00014713
2024-10-19T00:00:00+00:00,-0.00046222
2024-10-19T08:00:00+00:00,-0.00012191
2024-10-19T16:00:00+00:00,-9.552e-05
2024-10-20T00:00:00+00:00,-8.417e-05
